465	PauGasol	San	C	37	77	23.5	10.1	8	3.1	0.31	1.03	1.4
207	GregMonroe	Bos	C	27	26	19.1	10.2	6.3	2.3	1.08	0.69	1.88
184	FrankKaminsky	Cha	C	24	79	23.2	11.1	3.6	1.6	0.46	0.25	0.84
206	GregMonroe	Pho	C	27	20	23.3	11.3	8	2.5	0.8	0.3	2
332	KellyOlynyk	Mia	C	26	76	23.4	11.5	5.7	2.7	0.82	0.46	1.93
490	RobinLopez	Chi	C	29	64	26.4	11.8	4.5	1.9	0.22	0.83	1.67
122	DeAndreJordan	Lac	C	29	77	31.5	12	15.2	1.5	0.51	0.92	1.78
298	JonasValanciunas	Tor	C	25	77	22.4	12.7	8.6	1.1	0.38	0.9	1.48
430	MylesTurner	Ind	C	21	65	28.2	12.7	6.4	1.3	0.55	1.83	1.48
591	WillieCauley-Stein	Sac	C	24	73	28	12.8	7	2.4	1.05	0.92	1.49
7	AlHorford	Bos	C	31	72	31.6	12.9	7.4	4.7	0.6	1.08	1.83
63	BrookLopez	Lal	C	29	74	23.4	13	4	1.7	0.39	1.32	1.32
499	RudyGobert	Uta	C	25	56	32.4	13.5	10.7	1.4	0.79	2.3	1.91
85	ClintCapela	Hou	C	23	74	27.5	13.9	10.8	0.9	0.78	1.86	1.39
526	StevenAdams	Okc	C	24	76	32.7	13.9	9	1.2	1.21	1.03	1.68
210	HassanWhiteside	Mia	C	28	54	25.3	14	11.4	1	0.69	1.74	1.7
173	EnesKanter	Nyk	C	25	71	25.8	14.1	11	1.5	0.51	0.52	1.72
326	JusufNurkic	Por	C	23	79	26.4	14.3	9	1.8	0.81	1.39	2.32
20	AndreDrummond	Det	C	24	78	33.7	15	16	3	1.46	1.63	2.56
448	NikolaVucevic	Orl	C	27	57	29.5	16.5	9.2	3.4	0.98	1.11	1.93
161	DwightHoward	Cha	C	32	81	30.4	16.6	12.5	1.3	0.59	1.62	2.57
388	MarcGasol	Mem	C	33	73	33	17.2	8.1	4.2	0.74	1.4	2.67
328	Karl-AnthonyTowns	Min	C	22	82	35.6	21.3	12.4	2.4	0.78	1.41	1.94
288	JoelEmbiid	Phi	C	23	63	30.3	22.9	10.9	3.2	0.63	1.78	3.71
128	DeMarcusCousins	Nor	C	27	48	36.2	25.2	12.9	5.4	1.65	1.58	5.04
17	AlfonzoMcKinnie	Tor	F	25	14	3.8	1.5	0.5	0.1	0.07	0.07	0.21
61	BriceJohnson	Lac	F	23	9	4.3	1.8	1.4	0.1	0.67	0.22	0.44
62	BriceJohnson	Mem	F	23	9	6.7	3	2	0.1	0.33	0.44	0.11
412	MaxiKleber	Dal	F	26	72	16.8	5.4	3.3	0.7	0.36	0.65	0.42
