Min
AlexPoythress,25.00,4.20,1.00,0.70,0.10,0.12,0.04,0.08
BojanBogdanovic,80.00,30.80,14.30,3.40,1.50,0.69,0.10,1.31
TreyMcKinney-Jones,1.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00
DamienWilkins,19.00,8.00,1.70,0.80,0.50,0.11,0.05,0.26
GlennRobinsonIII,23.00,14.70,4.10,1.60,0.70,0.57,0.04,0.22
CoryJoseph,82.00,27.00,7.90,3.20,3.20,0.98,0.23,1.07
LanceStephenson,82.00,22.60,9.20,5.20,2.90,0.59,0.20,1.61
VictorOladipo,75.00,34.00,23.10,5.20,4.30,2.35,0.76,2.92

Nor
OmerAsik,14.00,8.60,1.30,2.60,0.10,0.07,0.14,0.36
EmekaOkafor,26.00,13.60,4.40,4.60,0.30,0.31,0.96,0.50
DeMarcusCousins,48.00,36.20,25.20,12.90,5.40,1.65,1.58,5.04
JoshSmith,3.00,3.90,0.70,1.30,0.00,0.00,0.00,0.00
CheickDiallo,52.00,11.20,4.90,4.00,0.40,0.21,0.40,0.52
NikolaMirotic,30.00,29.10,14.60,8.20,1.40,0.97,0.87,1.07
AnthonyDavis,75.00,36.40,28.10,11.10,2.30,1.53,2.57,2.16
MikeJames,4.00,4.50,1.00,0.30,1.50,0.25,0.00,0.25
LarryDrewII,7.00,7.90,2.10,0.30,1.10,0.00,0.00,0.29
WalterLemonJr.,5.00,7.00,3.40,0.40,1.00,0.00,0.20,0.80
JameerNelson,43.00,20.90,5.10,2.20,3.60,0.53,0.07,1.30
RajonRondo,65.00,26.20,8.30,4.00,8.20,1.08,0.15,2.31
JrueHoliday,81.00,36.10,19.00,4.50,6.00,1.52,0.79,2.64
JalenJones,4.00,4.80,1.30,0.80,0.00,0.00,0.00,0.00
SolomonHill,12.00,15.60,2.40,3.00,1.80,0.58,0.08,0.75
DanteCunningham,51.00,21.90,5.00,3.80,0.50,0.53,0.31,0.31
DariusMiller,82.00,23.70,7.80,2.00,1.40,0.34,0.21,0.71
CharlesCooke,13.00,2.90,0.50,0.20,0.10,0.08,0.00,0.08
DeAndreLiggins,27.00,9.00,1.60,1.00,0.80,0.37,0.15,0.26
TonyAllen,22.00,12.40,4.70,2.10,0.40,0.50,0.14,0.86
JordanCrawford,5.00,10.70,6.60,0.80,2.60,0.20,0.20,1.00
IanClark,74.00,19.70,7.40,1.70,1.50,0.45,0.14,0.77
E'TwaunMoore,82.00,31.50,12.50,2.90,2.30,0.94,0.13,1.24

Lal
ThomasBryant,15.00,4.80,1.50,1.10,0.40,0.07,0.13,0.13
AndrewBogut,23.00,9.40,1.60,3.40,0.70,0.17,0.57,0.83
IvicaZubac,43.00,9.50,3.70,2.80,0.60,0.19,0.35,0.60
ChanningFrye,9.00,16.70,5.80,2.80,1.10,0.11,0.22,0.44
BrookLopez,74.00,23.40,13.00,4.00,1.70,0.39,1.32,1.32
VanderBlue,5.00,9.00,0.60,0.20,0.60,0.20,0.00,0.60
AndreIngram,2.00,32.10,12.00,3.00,3.50,1.50,1.50,1.50
LarryNanceJr.,42.00,21.90,8.60,6.80,1.40,1.40,0.48,0.98
JuliusRandle,82.00,26.70,16.10,8.00,2.60,0.52,0.55,2.60
KyleKuzma,77.00,31.20,16.10,6.30,1.80,0.64,0.44,1.82
GaryPaytonII,11.00,10.50,3.50,2.50,1.10,0.36,0.18,0.36
TylerEnnis,54.00,12.70,4.10,1.80,1.90,0.56,0.19,0.70
LonzoBall,52.00,34.20,10.20,6.90,7.20,1.67,0.83,2.62
IsaiahThomas,17.00,26.80,15.60,2.10,5.00,0.35,0.06,3.18
DerrickWilliams,2.00,4.30,1.00,0.50,0.00,0.00,0.00,0.00
NigelHayes,2.00,5.40,1.50,0.00,1.00,0.00,0.00,0.00
LuolDeng,1.00,13.10,2.00,0.00,1.00,1.00,0.00,1.00
CoreyBrewer,54.00,12.90,3.70,1.70,0.80,0.76,0.15,0.70
TravisWear,17.00,13.40,4.40,2.20,0.40,0.24,0.29,0.35
BrandonIngram,59.00,33.50,16.10,5.30,3.90,0.76,0.73,2.53
AlexCaruso,37.00,15.20,3.60,1.80,2.00,0.65,0.24,1.14
JoshHart,63.00,23.20,7.90,4.20,1.30,0.73,0.25,0.75
KentaviousCaldwell-Pope,74.00,33.20,13.40,5.20,2.20,1.45,0.22,1.32
JordanClarkson,53.00,23.70,14.50,3.00,3.30,0.74,0.06,1.79

Gol
DamianJones,15.00,5.90,1.70,0.90,0.10,0.07,0.20,0.27
JaValeMcGee,65.00,9.50,4.80,2.60,0.50,0.32,0.88,0.42
ZazaPachulia,69.00,14.10,5.40,4.70,1.60,0.55,0.25,1.06
ChrisBoucher,1.00,1.30,0.00,1.00,0.00,0.00,0.00,0.00
KevonLooney,66.00,13.80,4.00,3.30,0.60,0.50,0.83,0.47
JordanBell,57.00,14.20,4.60,3.60,1.80,0.61,0.98,0.89
DavidWest,73.00,13.70,6.80,3.30,1.90,0.64,1.03,1.10
DraymondGreen,70.00,32.70,11.00,7.60,7.30,1.34,1.30,2.89
ShaunLivingston,71.00,15.90,5.50,1.80,2.00,0.49,0.30,0.82
QuinnCook,33.00,22.40,9.50,2.50,2.70,0.36,0.03,0.97
StephenCurry,51.00,32.00,26.40,5.10,6.10,1.57,0.16,3.00
OmriCasspi,53.00,14.00,5.70,3.80,1.00,0.34,0.36,0.70
AndreIguodala,64.00,25.40,6.00,3.80,3.30,0.84,0.59,1.05
KevinDurant,68.00,34.20,26.40,6.80,5.40,0.74,1.75,3.04
PatrickMcCaw,57.00,16.90,4.00,1.40,1.40,0.75,0.18,0.72
NickYoung,80.00,17.40,7.30,1.60,0.50,0.48,0.09,0.50
KlayThompson,73.00,34.30,20.00,3.80,2.50,0.75,0.48,1.75

Dal
JeffWithey,9.00,4.40,1.70,1.10,0.00,0.00,0.33,0.22
SalahMejri,61.00,11.90,3.50,4.00,0.60,0.36,1.10,0.64
DwightPowell,79.00,21.20,8.50,5.60,1.20,0.85,0.41,0.75
MaxiKleber,72.00,16.80,5.40,3.30,0.70,0.36,0.65,0.42
JoshMcRoberts,2.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00
NerlensNoel,30.00,15.70,4.40,5.60,0.70,1.03,0.73,0.87
JameelWarney,3.00,8.90,5.70,3.00,0.00,0.00,0.00,0.33
DorianFinney-Smith,21.00,21.30,5.90,3.60,1.20,0.48,0.19,1.00
